tier	n_samples	n_carriers	carrier_fraction	qualifying_rows	unique_variants	unique_genes	unique_genes_with_shet	unique_genes_with_cns_percentile	mean_variants	median_variants	p95_variants	max_variants	mean_genes	median_genes	p95_genes	max_genes	mean_shet_burden	median_shet_burden	p95_shet_burden	max_shet_burden	mean_sum_shet
broad_ptv_gnomad1e3_ac1	525	525	1.0	5461	5449	4240	3375	4212	10.379047619047618	10.0	18.0	24.0	10.222857142857142	10.0	17.0	23.0	0.25043119909940476	0.23335523674199998	0.518671135219035	0.7542511211351242	0.28832076190476175
broad_ptv_gnomad1e4_ac1	525	518	0.9866666666666667	3880	3872	3219	2585	3201	7.375238095238095	7.0	14.0	19.0	7.266666666666667	7.0	13.0	19.0	0.19263760333944477	0.1625539535413718	0.46266770006301716	0.7258632141168755	0.21407284571428553
broad_ptv_gnomad1e5_ac1	525	435	0.8285714285714286	2120	2118	1870	1505	1861	4.034285714285715	4.0	9.0	14.0	3.954285714285714	4.0	9.0	14.0	0.11107406197009181	0.06374183995290283	0.3582116381494306	0.5784570583778634	0.11911742666666669
chen_broad_ptv_gnomad1e5_ac1_pli90	525	200	0.38095238095238093	262	262	229	219	229	0.4990476190476191	0.0	2.0	4.0	0.48	0.0	2.0	4.0	0.0610014117780674	0.0	0.3201094	0.5399330560466851	0.06279682666666665
gardner_core_ptv_gnomad1e3_ac1	525	502	0.9561904761904761	1972	1971	1694	1340	1687	3.7542857142857144	3.0	7.7999999999999545	13.0	3.7257142857142855	3.0	7.0	13.0	0.08102413836822606	0.03559445215399992	0.31491226162540864	0.5203791947355656	0.08439527428571426
gardner_core_ptv_gnomad1e4_ac1	525	482	0.9180952380952381	1534	1533	1356	1101	1351	2.92	3.0	6.0	12.0	2.895238095238095	3.0	6.0	12.0	0.07586639018313772	0.029896465565659613	0.30737324139118005	0.5185013500005677	0.07874897523809528
gardner_core_ptv_gnomad1e5_ac1	525	385	0.7333333333333333	952	952	881	732	879	1.8133333333333332	2.0	5.0	8.0	1.7961904761904761	2.0	5.0	8.0	0.05628129292481511	0.014186187851999987	0.27937692494108135	0.5052575681498956	0.05826022666666665
gardner_core_ptv_gnomad2e6_ac1	525	322	0.6133333333333333	634	634	602	508	602	1.2076190476190476	1.0	4.0	8.0	1.1942857142857144	1.0	4.0	8.0	0.045784953603386115	0.005079999999999973	0.2610358165092153	0.5052575681498956	0.047194799999999974
gardner_private_proxy_ptv_gnomad_absent_ac1	525	5	0.009523809523809525	5	5	5	5	5	0.009523809523809525	0.0	0.0	1.0	0.009523809523809525	0.0	0.0	1.0	0.0005518666666666666	0.0	0.0	0.19618599999999997	0.0005518666666666667
hc_ptv_gnomad1e5_ac1_pli90	525	156	0.29714285714285715	200	200	175	167	175	0.38095238095238093	0.0	2.0	4.0	0.3619047619047619	0.0	2.0	3.0	0.04911936094458877	0.0	0.2944556	0.4915163047700001	0.050400590476190464
loftee_hc_ptv_gnomad1e3_ac1	525	520	0.9904761904761905	2803	2802	2275	1792	2265	5.337142857142857	5.0	10.0	19.0	5.226666666666667	5.0	9.0	19.0	0.12269655968288573	0.07208507856702062	0.3827187212290099	0.5640873599040004	0.13097628190476204
modern_pli90_ptv_gnomad1e3_ac1	525	148	0.2819047619047619	174	174	154	147	154	0.3314285714285714	0.0	1.0	3.0	0.3219047619047619	0.0	1.0	3.0	0.04460871400557168	0.0	0.26905286195519995	0.4915163047700001	0.04534173142857141
rare_pli30_ptv_gnomad1e3_ac1	525	404	0.7695238095238095	820	820	697	642	696	1.561904761904762	1.0	4.0	6.0	1.5238095238095237	1.0	4.0	6.0	0.16258229036917657	0.13271449107587774	0.45771371290986324	0.7330817227564759	0.17612187619047615
