sample_id	population	superpopulation	tier	n_qualifying_variants	n_qualifying_genes	n_genes_with_shet	n_genes_missing_shet	n_high_pli_genes	sum_shet	max_shet	shet_burden	mean_cns_expression_percentile	max_cns_expression_percentile	empirical_percentile_within_1000G_EUR
HG01684	IBS	EUR	broad_ptv_gnomad1e3_ac1	24	23	16	7	3	0.9576260000000001	0.337054	0.6680630000991944	75.77684782608695	94.4234	99.42857142857143
NA20503	TSI	EUR	broad_ptv_gnomad1e3_ac1	23	22	15	7	4	0.7417659999999999	0.207621	0.5482789301276346	68.31251554545454	98.3665	96.38095238095238
NA20783	TSI	EUR	broad_ptv_gnomad1e3_ac1	23	21	15	6	2	0.5919240000000001	0.387813	0.5023609465612885	72.83827619047621	96.0569	93.33333333333333
NA12287	CEU	EUR	broad_ptv_gnomad1e3_ac1	22	22	18	4	3	0.589758	0.234246	0.4686412419628996	77.73982272727272	95.9928	88.19047619047619
NA20767	TSI	EUR	broad_ptv_gnomad1e3_ac1	22	22	14	8	2	0.25462200000000007	0.062222	0.2284377792473372	69.21846818181818	96.1138	49.523809523809526
NA12874	CEU	EUR	broad_ptv_gnomad1e3_ac1	21	21	17	4	3	0.688752	0.154488	0.5166552155345313	79.74341428571428	99.6797	94.85714285714286
NA20807	TSI	EUR	broad_ptv_gnomad1e3_ac1	21	20	17	3	1	0.6681389999999999	0.138673	0.5031958674413654	79.00042500000002	95.6031	93.52380952380952
HG01704	IBS	EUR	broad_ptv_gnomad1e3_ac1	21	21	16	5	3	0.593665	0.300915	0.48102944622528276	81.31995714285713	99.7794	90.0952380952381
HG01695	IBS	EUR	broad_ptv_gnomad1e3_ac1	21	21	18	3	0	0.5097269999999999	0.080564	0.4081870907405224	75.238	93.0533	80.76190476190476
NA20522	TSI	EUR	broad_ptv_gnomad1e3_ac1	21	21	14	7	2	0.472109	0.168601	0.3950196920849518	67.43189142857143	99.0391	79.04761904761905
